9876543210|789|ХМАО|Таграс|Петров А.В.|123-456789|2020-06-17 15:17:16|2020-06-17 15:14:43|2020-06-17 15:14:21
Время;Расход (турбина), м3/мин;Объем (турбина), м3;Расход э/м, м3/мин;Объем э/м, м3;Давление 1, кПа;Давление 2, атм;Давление затруба, атм;Температура, C;Плотность, кг/м3;Концентрация НД1, %;Объем НД1, л;Концентрация НД2, %;Объем НД2, л;Концентрация ДШ, %;Масса ДШ, кг;Расход НД1, л/ч;Расход НД2, л/ч;Расход ДШ, кг/ч;Этап;Метка
17.06.2020 15:17:17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:18;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;240523941|Опрессовка 20|False;
17.06.2020 15:17:19;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:20;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:21;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;240523941|Опрессовка 20|True;2024775763|Опрессовка 21|False;
17.06.2020 15:17:22;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:23;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:24;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:25;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:26;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:27;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:28;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:29;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:30;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:31;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:32;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:33;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:34;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:35;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:36;1;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:37;1;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:38;1;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:39;1;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:40;1;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:41;1;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:42;1;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;2024775763|Опрессовка 21|True;2043460879|Опрессовка 20|False;
17.06.2020 15:17:43;1;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:44;1;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:45;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;2043460879|Опрессовка 20|True;1820457309|Опрессовка 21|False;
17.06.2020 15:17:46;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:47;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:48;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:49;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:50;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:51;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:52;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:53;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:54;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:55;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:56;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:57;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:58;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:17:59;0;0;0;0;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
17.06.2020 15:18:00;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;1820457309|Опрессовка 21|True;16310867|Опрессовка 20|False;
17.06.2020 15:18:01;0;0;0;-0,006368972;-2,498471;0;0;0;0;0;0;0;0;0;0;0;0;0;
